Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","49.012","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","179.7107","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","2000","2000","3050","FAO TIER 1","ha","9549.0215","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","0.2304","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","45.8195","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","168.0049","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","2001","2001","3050","FAO TIER 1","ha","9382.6738","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","0.2262","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","44.9858","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","164.9479","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","2002","2002","3050","FAO TIER 1","ha","9356.2381","E","Estimated value",""
