Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1962","1962","°C","-0.344","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1963","1963","°C","0.812","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1964","1964","°C","-0.159","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1965","1965","°C","-0.266","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1966","1966","°C","1.321","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1967","1967","°C","0.765","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1968","1968","°C","-1.131","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1969","1969","°C","0.457","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1970","1970","°C","-0.055","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1971","1971","°C","-0.258","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1972","1972","°C","-1.714","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1973","1973","°C","1.084","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1974","1974","°C","-0.43","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1975","1975","°C","-0.219","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1976","1976","°C","0.157","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1977","1977","°C","0.64","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1978","1978","°C","-0.514","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1979","1979","°C","-0.631","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1980","1980","°C","0.758","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1981","1981","°C","0.505","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1982","1982","°C","-0.372","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1983","1983","°C","-0.561","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1984","1984","°C","-1.168","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1985","1985","°C","0.049","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1986","1986","°C","-0.215","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1987","1987","°C","0.595","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1988","1988","°C","1.281","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1989","1989","°C","-0.3","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1990","1990","°C","0.194","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1991","1991","°C","0.709","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1992","1992","°C","-0.745","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1993","1993","°C","0.517","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1994","1994","°C","-0.224","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1995","1995","°C","0.087","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1996","1996","°C","0.558","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1997","1997","°C","-0.486","E","Estimated value"
